near_pair_id,path_a,path_b,phash_hamming_distance_bits
1,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Camellia/IMG_1461.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Camellia/IMG_1460.jpeg,4
2,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Camellia/IMG_1461.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Camellia/IMG_1462.jpeg,8
3,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Camellia/IMG_1479.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Camellia/IMG_1480.jpeg,8
4,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Camellia/IMG_1498.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Camellia/IMG_1499.jpeg,8
5,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa/IMG_1231.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa/IMG_1232.jpeg,2
6,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa/IMG_1255.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa/IMG_1257.jpeg,6
7,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa/IMG_1255.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa/IMG_1252.jpeg,8
8,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa/IMG_1255.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa/IMG_1256.jpeg,2
9,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa/IMG_1255.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Ficus_microcarpa/IMG_1254.jpeg,4
10,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa/IMG_1255.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Ficus_microcarpa/IMG_1259.jpeg,8
11,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa/IMG_1257.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa/IMG_1256.jpeg,6
12,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa/IMG_1257.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa/IMG_1258.jpeg,6
13,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa/IMG_1257.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Ficus_microcarpa/IMG_1254.jpeg,8
14,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa_golden_leaves/IMG_1020.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1021.jpeg,4
15,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa_golden_leaves/IMG_1020.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Ficus_microcarpa_golden_leaves/IMG_1022.jpeg,8
16,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa_golden_leaves/IMG_1033.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1036.jpeg,8
17,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa_golden_leaves/IMG_1040.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa_golden_leaves/IMG_1042.jpeg,8
18,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa_golden_leaves/IMG_1040.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/train/Ficus_microcarpa_golden_leaves/IMG_1041.jpeg,6
19,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/test/Ficus_microcarpa_golden_leaves/IMG_1040.jpeg,/Users/vincentdeng/Projects/Campus-Vegetation-Recognition/data/val/Ficus_microcarpa_golden_leaves/IMG_1039.jpeg,4
